"","Line","UWC","Region","State","Segment","FirstQuoteYear","FirstEffYear","mnln_cd","coast_ind","earlyshop_mth_bkt","SPRNKL_IND_bkt","SUM_BLD_SQFTAGE_bkt","LOC_BLD_AGE_bkt","bld_ind"
"24427","CMP","KANSAS CITY","CENTRAL","MN","CONTRACTORS","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"24428","CMP","CHARLOTTE","SOUTHERN","SC","BUILDING","2017","2017","MPAC","N","a.0","b.N","e.11300+","b.<25","1"
"24429","CMP","DENVER","WESTERN","CO","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"24430","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","b.<15","1"
"24431","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MULTI","N","a.0","a.Y","b.<1800","b.<25","0"
"24433","CMP","METRO","MID-ATLANTIC","NJ","BUSINESS","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"24434","CMP","METRO","MID-ATLANTIC","NJ","BUSINESS","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"24435","CMP","KANSAS CITY","CENTRAL","NM","BUILDING","2017","2017","MULTI","N","b.1","b.N","d.<11300","b.<15","1"
"24436","CMP","DENVER","WESTERN","CO","RESTAURANTS","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"24437","CMP","DENVER","WESTERN","CO","RESTAURANTS","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"24438","CMP","CHARLOTTE","SOUTHERN","TN","STORE","2017","2017","MULTI","N","d.3","b.N","e.11300+","c.<40","1"
"24441","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MULTI","N","c.2","b.N","b.<1800","c.<40","0"
"24443","CMP","DENVER","WESTERN","AZ","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","d.<70","1"
"24444","CMP","NAPERVILLE","CENTRAL","WI","BUILDING","2017","2017","MULTI","N","a.0","b.N","e.11300+","b.<25","1"
"24445","CMP","CHARLOTTE","SOUTHERN","TN","STORE","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<25","0"
"24447","CMP","KANSAS CITY","CENTRAL","MN","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"24452","CMP","ATLANTA","SOUTHERN","AL","STORE","2017","2017","MULTI","N","a.0","b.N","b.<1800","e.70+","0"
"24453","CMP","HARTFORD","NORTHEAST","NY","BUSINESS","2017","2017","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"24454","CMP","KANSAS CITY","CENTRAL","ND","OFFICE","2017","2017","MULTI","N","b.1","b.N","d.<11300","b.<15","1"
"24455","CMP","ATLANTA","SOUTHERN","AL","BUSINESS","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"24456","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","b.<15","1"
"24457","CMP","ATLANTA","SOUTHERN","AL","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"24458","CMP","DENVER","WESTERN","AZ","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<15","0"
"24460","CMP","DIAMOND BAR","CALIFORNIA","CA","BUILDING","2017","2017","MPAC","N","b.1","b.N","e.11300+","d.<70","1"
"24461","CMP","DENVER","WESTERN","WA","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","d.<70","1"
"24462","CMP","DENVER","WESTERN","CO","BUILDING","2017","2017","MPAC","N","a.0","a.Y","d.<11300","b.<25","1"
"24463","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","b.<15","1"
"24464","CMP","NAPERVILLE","CENTRAL","IL","BUILDING","2016","2016","MPAC","N","b.1","b.N","d.<11300","b.<15","1"
"24465","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MPAC","N","f.others","b.N","b.<1800","b.<15","0"
"24466","CMP","DENVER","WESTERN","MT","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"24467","CMP","DENVER","WESTERN","WA","BUILDING","2016","2016","MPAC","N","b.1","b.N","e.11300+","d.<70","1"
"24468","CMP","DENVER","WESTERN","WA","BUSINESS","2017","2017","MPAC","N","c.2","b.N","b.<1800","b.<15","0"
"24469","CMP","DIAMOND BAR","CALIFORNIA","CA","RESTAURANTS","2017","2017","MULTI","N","b.1","a.Y","b.<1800","d.<70","0"
"24471","CMP","DENVER","WESTERN","NV","BUSINESS","2017","2017","MULTI","N","a.0","a.Y","b.<1800","b.<25","0"
"24472","CMP","DALLAS","SOUTH CENTRAL","TX","BUSINESS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"24474","CMP","DENVER","WESTERN","AZ","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","d.<11300","d.<70","1"
"24475","CMP","DIAMOND BAR","CALIFORNIA","CA","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"24477","CMP","DENVER","WESTERN","WA","BUSINESS","2017","2017","MPAC","N","a.0","a.Y","b.<1800","b.<15","0"
"24478","CMP","CHARLOTTE","SOUTHERN","TN","OFFICE","2016","2016","MULTI","N","c.2","b.N","d.<11300","b.<25","1"
