"","Line","UWC","Region","State","Segment","FirstQuoteYear","FirstEffYear","mnln_cd","coast_ind","earlyshop_mth_bkt","SPRNKL_IND_bkt","SUM_BLD_SQFTAGE_bkt","LOC_BLD_AGE_bkt","bld_ind"
"5454","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","e.70+","1"
"5455","CMP","NAPERVILLE","CENTRAL","IL","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","c.<40","1"
"5456","CMP","NAPERVILLE","CENTRAL","CA","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5457","CMP","NAPERVILLE","CENTRAL","CA","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5458","CMP","DENVER","WESTERN","UT","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","c.<40","1"
"5459","CMP","BRAINTREE","NORTHEAST","MA","BUILDING","2017","2017","MPAC","Y","a.0","b.N","d.<11300","b.<25","1"
"5460","CMP","CHARLOTTE","SOUTHERN","NC","STORE","2016","2016","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5461","CMP","NAPERVILLE","CENTRAL","MI","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","d.<70","0"
"5463","CMP","HUNT VALLEY","MID-ATLANTIC","PA","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","e.70+","0"
"5464","CMP","HUNT VALLEY","MID-ATLANTIC","WV","BUILDING","2017","2017","MULTI","N","a.0","b.N","c.<4250","d.<70","1"
"5465","CMP","BRAINTREE","NORTHEAST","MA","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"5466","CMP","CHARLOTTE","SOUTHERN","TN","BUILDING","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","1"
"5467","CMP","DENVER","WESTERN","CO","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"5468","CMP","ATLANTA","SOUTHERN","GA","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","c.<40","1"
"5469","CMP","HARTFORD","NORTHEAST","NY","APARTMENTS","2017","2017","MPAC","Y","b.1","b.N","e.11300+","d.<70","1"
"5471","CMP","ATLANTA","SOUTHERN","MS","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5472","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5473","CMP","DENVER","WESTERN","AZ","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","b.<25","1"
"5474","CMP","NAPERVILLE","CENTRAL","IL","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"5475","CMP","HUNT VALLEY","MID-ATLANTIC","PA","RESTAURANTS","2017","2017","MPAC","N","a.0","a.Y","c.<4250","b.<15","1"
"5476","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","a.0","a.Y","e.11300+","b.<25","1"
"5477","CMP","NAPERVILLE","CENTRAL","MI","BUILDING","2017","2017","MPAC","N","a.0","b.N","e.11300+","b.<15","1"
"5480","CMP","HUNT VALLEY","MID-ATLANTIC","PA","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"5481","CMP","HUNT VALLEY","MID-ATLANTIC","DC","BUSINESS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5482","CMP","HUNT VALLEY","MID-ATLANTIC","WV","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"5483","CMP","DIAMOND BAR","CALIFORNIA","CA","RESTAURANTS","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"5484","CMP","DENVER","WESTERN","CA","GARAGE","2017","2017","MPAC","N","a.0","a.Y","b.<1800","b.<25","0"
"5485","CMP","DENVER","WESTERN","CA","GARAGE","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<25","0"
"5486","CMP","HUNT VALLEY","MID-ATLANTIC","MD","STORE","2017","2017","MULTI","N","b.1","a.Y","b.<1800","b.<25","0"
"5487","CMP","NAPERVILLE","CENTRAL","IL","CONDOMINIUMS","2016","2016","MPAC","N","a.0","a.Y","e.11300+","b.<15","1"
"5488","CMP","WALNUT CREEK","CALIFORNIA","CA","RESTAURANTS","2017","2017","MULTI","N","a.0","a.Y","d.<11300","d.<70","1"
"5489","CMP","DENVER","WESTERN","UT","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"5490","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","c.<40","1"
"5491","CMP","NAPERVILLE","CENTRAL","WI","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5492","CMP","DALLAS","SOUTH CENTRAL","TX","BUSINESS","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","0"
"5493","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","a.0","b.N","e.11300+","b.<15","1"
"5494","CMP","DENVER","WESTERN","AZ","RESTAURANTS","2017","2017","MPAC","N","a.0","a.Y","b.<1800","b.<15","0"
"5495","CMP","CHARLOTTE","SOUTHERN","AL","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<25","0"
"5496","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","a.0","a.Y","e.11300+","b.<15","1"
"5497","CMP","DENVER","WESTERN","CO","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","d.<70","0"
"5498","CMP","DENVER","WESTERN","AZ","BUSINESS","2017","2017","MPAC","N","a.0","a.Y","b.<1800","b.<25","0"
"5499","CMP","DENVER","WESTERN","CO","BUILDING","2017","2018","MULTI","N","c.2","b.N","c.<4250","b.<15","1"
"5500","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MULTI","N","b.1","a.Y","b.<1800","b.<15","0"
"5502","CMP","WALNUT CREEK","CALIFORNIA","CA","RESTAURANTS","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5503","CMP","HUNT VALLEY","MID-ATLANTIC","VA","RESTAURANTS","2017","2017","MULTI","N","a.0","a.Y","b.<1800","d.<70","0"
"5504","CMP","DENVER","WESTERN","WA","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"5505","CMP","DENVER","WESTERN","UT","CONTRACTORS","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"5506","CMP","KANSAS CITY","CENTRAL","MN","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5508","CMP","NAPERVILLE","CENTRAL","OH","GARAGE","2017","2018","MPAC","N","c.2","b.N","d.<11300","d.<70","1"
"5509","CMP","NAPERVILLE","CENTRAL","MI","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","c.<40","1"
"5510","CMP","ATLANTA","SOUTHERN","AL","APARTMENTS","2017","2017","MULTI","N","a.0","b.N","d.<11300","d.<70","1"
"5513","CMP","NAPERVILLE","CENTRAL","OH","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"5514","CMP","DENVER","WESTERN","WA","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"5515","CMP","DENVER","WESTERN","CO","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5516","CMP","METRO","NORTHEAST","NY","CONTRACTORS","2017","2017","MULTI","Y","a.0","b.N","b.<1800","d.<70","0"
"5517","CMP","METRO","MID-ATLANTIC","NJ","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"5518","CMP","NAPERVILLE","CENTRAL","OH","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<25","0"
"5519","CMP","HARTFORD","NORTHEAST","MA","OFFICE","2017","2017","MULTI","Y","a.0","a.Y","b.<1800","b.<15","0"
"5521","CMP","HARTFORD","NORTHEAST","NY","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"5523","CMP","HARTFORD","NORTHEAST","NY","OFFICE","2017","2017","MULTI","N","b.1","b.N","c.<4250","d.<70","1"
"5525","CMP","HARTFORD","NORTHEAST","NY","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","b.<25","1"
"5526","CMP","HARTFORD","NORTHEAST","NY","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","e.11300+","d.<70","1"
"5528","CMP","HUNT VALLEY","MID-ATLANTIC","PA","CONDOMINIUMS","2017","2018","MPAC","N","c.2","a.Y","e.11300+","b.<15","1"
"5529","CMP","HARTFORD","NORTHEAST","NY","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","d.<11300","c.<40","1"
"5530","CMP","NAPERVILLE","CENTRAL","IL","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","1"
"5531","CMP","NAPERVILLE","CENTRAL","MI","CONTRACTORS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","1"
"5532","CMP","METRO","NORTHEAST","NY","BUILDING","2017","2017","MULTI","Y","b.1","b.N","c.<4250","e.70+","1"
"5533","CMP","HARTFORD","NORTHEAST","NY","RESTAURANTS","2017","2017","MPAC","N","b.1","b.N","d.<11300","e.70+","1"
"5536","CMP","DALLAS","SOUTH CENTRAL","TX","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"5538","CMP","HUNT VALLEY","MID-ATLANTIC","PA","CONTRACTORS","2017","2017","MULTI","N","b.1","b.N","b.<1800","d.<70","1"
"5539","CMP","ATLANTA","SOUTHERN","MS","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","b.<15","1"
"5540","CMP","CHARLOTTE","SOUTHERN","NC","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"5541","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MULTI","N","b.1","a.Y","e.11300+","b.<15","1"
"5542","CMP","KANSAS CITY","CENTRAL","TN","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","b.<15","1"
"5543","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"5544","CMP","ATLANTA","SOUTHERN","GA","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"5545","CMP","DALLAS","SOUTH CENTRAL","TX","CONTRACTORS","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<15","0"
"5546","CMP","METRO","MID-ATLANTIC","NJ","BUILDING","2017","2017","MPAC","N","a.0","b.N","e.11300+","d.<70","1"
"5547","CMP","NAPERVILLE","CENTRAL","MI","BUILDING","2017","2017","MULTI","N","a.0","a.Y","e.11300+","b.<25","1"
"5550","CMP","HUNT VALLEY","MID-ATLANTIC","PA","GARAGE","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"5551","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MPAC","N","b.1","b.N","c.<4250","b.<25","1"
"5552","CMP","DENVER","WESTERN","WA","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","d.<70","1"
"5554","CMP","NAPERVILLE","CENTRAL","IL","RESTAURANTS","2017","2017","MULTI","N","b.1","a.Y","b.<1800","d.<70","0"
"5555","CMP","HUNT VALLEY","MID-ATLANTIC","WV","STORE","2016","2016","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"5556","CMP","NAPERVILLE","CENTRAL","IL","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","c.<40","1"
"5557","CMP","NAPERVILLE","CENTRAL","OH","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","d.<70","1"
"5558","CMP","DENVER","WESTERN","WA","TECH OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5559","CMP","NAPERVILLE","CENTRAL","OH","STORE","2017","2017","MULTI","N","a.0","b.N","d.<11300","d.<70","1"
"5560","CMP","DENVER","WESTERN","CO","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5561","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"5563","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"5564","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"5565","CMP","HUNT VALLEY","MID-ATLANTIC","PA","APARTMENTS","2017","2017","MULTI","N","a.0","b.N","d.<11300","d.<70","1"
"5566","CMP","ATLANTA","SOUTHERN","GA","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","e.11300+","b.<15","1"
"5567","CMP","CHARLOTTE","SOUTHERN","TN","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"5568","CMP","CHARLOTTE","SOUTHERN","TN","GARAGE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5569","CMP","DENVER","WESTERN","ID","OFFICE","2017","2017","MPAC","N","a.0","b.N","c.<4250","b.<25","1"
"5571","CMP","BRAINTREE","NORTHEAST","MA","BUILDING","2017","2017","MPAC","Y","a.0","b.N","d.<11300","e.70+","1"
"5574","CMP","NAPERVILLE","CENTRAL","WI","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","d.<11300","b.<25","1"
"5575","CMP","ATLANTA","SOUTHERN","GA","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","d.<11300","c.<40","1"
"5576","CMP","ATLANTA","SOUTHERN","AL","CONTRACTORS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5577","CMP","KANSAS CITY","SOUTH CENTRAL","MO","RESTAURANTS","2017","2018","MULTI","N","c.2","b.N","b.<1800","e.70+","1"
"5578","CMP","NAPERVILLE","CENTRAL","MI","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"5579","CMP","CHARLOTTE","SOUTHERN","TN","BUILDING","2017","2017","MPAC","N","a.0","b.N","e.11300+","d.<70","1"
"5581","CMP","ATLANTA","SOUTHERN","GA","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"5582","CMP","NAPERVILLE","CENTRAL","WI","CONDOMINIUMS","2017","2017","MULTI","N","c.2","b.N","e.11300+","c.<40","1"
"5583","CMP","NAPERVILLE","CENTRAL","WI","CONDOMINIUMS","2017","2017","MULTI","N","c.2","b.N","e.11300+","c.<40","1"
"5584","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MPAC","N","b.1","b.N","d.<11300","d.<70","1"
"5585","CMP","WALNUT CREEK","CALIFORNIA","CA","BUILDING","2017","2017","MPAC","N","a.0","a.Y","e.11300+","c.<40","1"
"5586","CMP","DENVER","WESTERN","WA","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<25","0"
"5587","CMP","DENVER","WESTERN","NM","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"5588","CMP","DENVER","WESTERN","NV","OFFICE","2017","2017","MPAC","N","b.1","a.Y","b.<1800","c.<40","0"
"5589","CMP","HUNT VALLEY","MID-ATLANTIC","MD","RESTAURANTS","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"5590","CMP","DENVER","WESTERN","NV","BUILDING","2017","2017","MPAC","N","a.0","a.Y","e.11300+","b.<25","1"
"5591","CMP","KANSAS CITY","CENTRAL","IA","STORE","2017","2017","MULTI","N","b.1","b.N","b.<1800","e.70+","0"
"5593","CMP","DENVER","WESTERN","OR","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","0"
"5594","CMP","DENVER","WESTERN","WA","BUSINESS","2017","2017","MPAC","N","a.0","b.N","c.<4250","c.<40","1"
"5595","CMP","DENVER","WESTERN","UT","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"5596","CMP","DENVER","WESTERN","CO","BUILDING","2017","2017","MPAC","N","a.0","b.N","e.11300+","c.<40","1"
"5597","CMP","DENVER","WESTERN","AZ","RESTAURANTS","2017","2017","MPAC","N","a.0","a.Y","b.<1800","b.<15","0"
"5599","CMP","DENVER","WESTERN","WA","RESTAURANTS","2017","2017","MPAC","N","a.0","a.Y","b.<1800","b.<25","0"
"5600","CMP","ATLANTA","SOUTHERN","MS","BUILDING","2017","2018","MPAC","N","c.2","b.N","c.<4250","d.<70","1"
"5601","CMP","DENVER","WESTERN","AZ","BUSINESS","2016","2016","MPAC","N","a.0","a.Y","b.<1800","d.<70","0"
"5602","CMP","DENVER","WESTERN","MT","APARTMENTS","2017","2017","MULTI","N","a.0","a.Y","e.11300+","b.<15","1"
"5603","CMP","METRO","NORTHEAST","NY","BUSINESS","2017","2017","MPAC","Y","a.0","b.N","b.<1800","d.<70","0"
"5604","CMP","HUNT VALLEY","MID-ATLANTIC","MD","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"5605","CMP","HUNT VALLEY","MID-ATLANTIC","WV","BUILDING","2017","2017","MULTI","N","b.1","b.N","b.<1800","c.<40","1"
"5606","CMP","ATLANTA","SOUTHERN","GA","BUILDING","2017","2017","MPAC","N","a.0","a.Y","e.11300+","c.<40","1"
"5607","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","c.<40","1"
"5608","CMP","ATLANTA","SOUTHERN","AL","OFFICE","2017","2017","MPAC","N","a.0","a.Y","b.<1800","c.<40","0"
"5610","CMP","HARTFORD","NORTHEAST","CT","STORE","2017","2017","MULTI","Y","a.0","b.N","b.<1800","b.<25","0"
"5611","CMP","HUNT VALLEY","MID-ATLANTIC","WV","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"5614","CMP","NAPERVILLE","CENTRAL","MI","BUILDING","2017","2017","MPAC","N","b.1","b.N","c.<4250","c.<40","1"
"5617","CMP","NAPERVILLE","CENTRAL","MI","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","d.<70","1"
"5618","CMP","HUNT VALLEY","MID-ATLANTIC","VA","RESTAURANTS","2017","2018","MPAC","Y","c.2","b.N","c.<4250","d.<70","1"
"5619","CMP","METRO","NORTHEAST","NY","BUSINESS","2017","2017","MULTI","Y","a.0","b.N","b.<1800","e.70+","0"
"5620","CMP","KANSAS CITY","CENTRAL","IA","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"5621","CMP","DENVER","WESTERN","TX","RESTAURANTS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"5622","CMP","METRO","NORTHEAST","NY","CONTRACTORS","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<25","0"
"5623","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUILDING","2016","2016","MULTI","N","c.2","a.Y","e.11300+","c.<40","1"
"5625","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2018","MPAC","N","c.2","b.N","c.<4250","d.<70","1"
"5626","CMP","NAPERVILLE","CENTRAL","MI","STORE","2017","2017","MULTI","N","a.0","b.N","b.<1800","e.70+","0"
"5627","CMP","HUNT VALLEY","MID-ATLANTIC","DC","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5628","CMP","HUNT VALLEY","MID-ATLANTIC","MD","OFFICE","2017","2017","MULTI","Y","b.1","b.N","b.<1800","b.<25","0"
"5629","CMP","METRO","NORTHEAST","NY","BUILDING","2017","2017","MPAC","N","a.0","b.N","b.<1800","e.70+","1"
"5630","CMP","HARTFORD","NORTHEAST","NY","BUILDING","2017","2017","MPAC","N","a.0","a.Y","e.11300+","b.<15","1"
"5631","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","c.<40","1"
"5632","CMP","DENVER","WESTERN","UT","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"5633","CMP","DENVER","WESTERN","CO","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5634","CMP","ATLANTA","SOUTHERN","GA","OFFICE","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<15","0"
"5635","CMP","HUNT VALLEY","MID-ATLANTIC","PA","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","e.70+","0"
"5636","CMP","DENVER","WESTERN","NM","BUILDING","2017","2017","MULTI","N","a.0","b.N","d.<11300","c.<40","1"
"5637","CMP","HUNT VALLEY","MID-ATLANTIC","WV","RESTAURANTS","2017","2017","MULTI","N","b.1","a.Y","b.<1800","e.70+","0"
"5638","CMP","DENVER","WESTERN","NM","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","c.<40","1"
"5639","CMP","HARTFORD","NORTHEAST","CT","OFFICE","2017","2017","MPAC","Y","a.0","b.N","b.<1800","c.<40","0"
"5640","CMP","DENVER","WESTERN","UT","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"5642","CMP","DENVER","WESTERN","NM","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"5644","CMP","HUNT VALLEY","MID-ATLANTIC","NY","APARTMENTS","2017","2017","MPAC","Y","a.0","b.N","d.<11300","e.70+","1"
"5645","CMP","METRO","NORTHEAST","CT","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","e.70+","1"
"5646","CMP","DENVER","WESTERN","UT","GARAGE","2017","2017","MULTI","N","b.1","b.N","d.<11300","d.<70","1"
"5648","CMP","DENVER","WESTERN","UT","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","e.11300+","b.<25","1"
"5649","CMP","DENVER","WESTERN","UT","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","e.11300+","b.<25","1"
"5651","CMP","HARTFORD","NORTHEAST","CT","CONTRACTORS","2017","2017","MULTI","Y","a.0","b.N","b.<1800","c.<40","0"
"5652","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUSINESS","2017","2017","MULTI","Y","a.0","b.N","b.<1800","b.<15","0"
"5653","CMP","HUNT VALLEY","MID-ATLANTIC","VA","GARAGE","2016","2016","MULTI","N","a.0","a.Y","b.<1800","d.<70","0"
"5654","CMP","DENVER","WESTERN","WA","GARAGE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5655","CMP","NAPERVILLE","CENTRAL","IN","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<25","0"
"5656","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUILDING","2017","2017","MPAC","N","b.1","a.Y","e.11300+","c.<40","1"
"5657","CMP","HUNT VALLEY","MID-ATLANTIC","DE","BUILDING","2017","2017","MULTI","N","b.1","a.Y","e.11300+","c.<40","1"
"5658","CMP","WALNUT CREEK","CALIFORNIA","CA","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","e.11300+","c.<40","1"
"5659","CMP","NAPERVILLE","CENTRAL","IL","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5660","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","b.<25","1"
"5661","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUILDING","2017","2017","MULTI","N","a.0","b.N","d.<11300","b.<15","1"
"5662","CMP","DENVER","WESTERN","UT","BUSINESS","2017","2017","MPAC","N","b.1","b.N","b.<1800","e.70+","0"
"5663","CMP","HUNT VALLEY","MID-ATLANTIC","VA","RESTAURANTS","2017","2017","MULTI","Y","a.0","b.N","b.<1800","b.<15","0"
"5664","CMP","DENVER","WESTERN","CO","BUILDING","2017","2017","MULTI","N","b.1","b.N","e.11300+","d.<70","1"
"5665","CMP","ATLANTA","SOUTHERN","AL","STORE","2017","2017","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"5666","CMP","CHARLOTTE","SOUTHERN","TN","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","c.<40","1"
"5667","CMP","HARTFORD","NORTHEAST","NY","APARTMENTS","2017","2018","MPAC","N","f.others","b.N","e.11300+","b.<25","1"
"5668","CMP","DENVER","WESTERN","CO","BUILDING","2017","2018","MPAC","N","c.2","b.N","e.11300+","b.<25","1"
"5669","CMP","DENVER","WESTERN","TX","BUSINESS","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"5670","CMP","DENVER","WESTERN","WA","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","c.<40","1"
"5671","CMP","HUNT VALLEY","MID-ATLANTIC","WV","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","c.<4250","d.<70","1"
"5674","CMP","DENVER","WESTERN","OR","BUILDING","2017","2018","MULTI","N","c.2","b.N","d.<11300","e.70+","1"
"5675","CMP","DENVER","WESTERN","AZ","BUSINESS","2017","2017","MPAC","N","b.1","a.Y","b.<1800","b.<25","0"
"5676","CMP","DENVER","WESTERN","AZ","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"5677","CMP","DENVER","WESTERN","CO","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5678","CMP","HUNT VALLEY","MID-ATLANTIC","VA","STORE","2017","2017","MPAC","N","a.0","a.Y","b.<1800","c.<40","0"
"5679","CMP","ATLANTA","SOUTHERN","AL","BUILDING","2017","2017","MPAC","N","a.0","b.N","c.<4250","c.<40","1"
"5680","CMP","DALLAS","SOUTH CENTRAL","TX","GARAGE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"5681","CMP","DENVER","WESTERN","UT","GARAGE","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"5682","CMP","DENVER","WESTERN","WA","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"5683","CMP","DENVER","WESTERN","AZ","CONDOMINIUMS","2017","2017","MPAC","N","a.0","b.N","e.11300+","d.<70","1"
"5684","CMP","CHARLOTTE","SOUTHERN","TN","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"5685","CMP","DENVER","WESTERN","AZ","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<25","0"
"5686","CMP","ATLANTA","SOUTHERN","IL","RESTAURANTS","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<15","0"
"5687","CMP","HUNT VALLEY","MID-ATLANTIC","VA","STORE","2017","2017","MPAC","N","a.0","a.Y","b.<1800","c.<40","0"
"5688","CMP","DENVER","WESTERN","AZ","CONTRACTORS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"5689","CMP","HUNT VALLEY","MID-ATLANTIC","VA","GARAGE","2016","2016","MULTI","N","a.0","b.N","b.<1800","b.<25","0"
"5690","CMP","DENVER","WESTERN","NM","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<25","1"
"5691","CMP","DENVER","WESTERN","NM","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","c.<40","1"
"5692","CMP","BRAINTREE","NORTHEAST","ME","RESTAURANTS","2017","2018","MPAC","Y","c.2","b.N","b.<1800","e.70+","0"
