"","X","TRV.Price","nbr_comp","count","rrv_rt_fct","tot_bld_annl_rev_amt","fnl_prc_pt_fct","tot_ref_rule_cnt","agt_subm_pol_cnt","terr_pctl_bldgcrime","terr_pctl_bldgfire","terr_pctl_weather","terr_pctl_water","terr_pctl_cntscrime","terr_pctl_cntsfire","terr_pctl_liab","afi_pol_cnt","pri_clm_cnt","prcnt_blg_tiv","prcnt_pol_cmp"
"10726",10726,3287,1,1,1,8000,0.8984,0,1,31,87,45,21,43,62,99,1,0,1,2
"10727",10727,980,1,1,1.06,130000,1,0,1,27,90,75,100,34,100,80,1,0,0,1
"10729",10729,831,2,1,1,3e+05,1.0804,0,1,59,51,21,85,30,43,52,1,0,0,1
"10730",10730,9781,1,1,0.83,1e+05,1,0,1,6,2,89,34,18,4,27,1,0,0,1
"10731",10731,13616,1,1,1,3940000,0.666,0,1,34,57,12,12,79,45,90,1,0,1,1
"10732",10732,1303,1,1,1,20000,1.13,0,1,76,38,5,73,93,36,92,1,2,0.990636583745795,1
"10733",10733,499,1,1,1,7e+05,0.7697,1,1,8,57,76,58,1,81,44,0,0,0,1
"10734",10734,7767,1,1,1,950000,0.5593,2,0,16,4,18,96,66,23,20,0,0,0.881612090680101,1
"10735",10735,10089,1,1,1,15000,0.8547,0,1,93,68,14,40,92,56,98,1,0,1,1
"10736",10736,2650,2,1,0.97,140000,1,0,1,22,80,4,26,23,84,67,1,0,0.839942684237403,1
"10738",10738,2216,1,1,0.81,1e+05,1,0,1,33,21,88,84,65,16,80,1,0,0,1
"10739",10739,4099,1,1,1,590000,1.0177,0,1,41,19,9,65,63,29,74,1,0,0,1
"10740",10740,6950,1,1,1,6e+05,0.9349,0,1,42,40,32,51,13,28,48,1,0,0,1
"10741",10741,29474,1,1,1,1300000,0.6727,1,1,63,38,77,67,71,34,1,0,0,0.858081788033229,1
"10742",10742,2363,1,1,1,66000,1.1938,3,1,51,43,46,94,26,36,43,0,0,1,1
"10743",10743,1210,1,1,1,1e+06,0.8719,0,1,24,82,34,75,13,41,90,1,0,0,1
"10744",10744,1424,1,1,1.16,3500,1,0,1,49,61,54,45,78,65,82,1,0,1,1
"10745",10745,500,1,1,1,225000,0.842,0,1,37,29,79,29,19,39,90,1,0,0,1
"10746",10746,2551,1,1,1,1e+06,0.7359,0,1,70,76,72,65,74,86,5,1,0,0,1
"10747",10747,6786,1,1,1,90000,1.176,0,1,37,63,29,74,16,67,54,1,0,0.994350282485876,1
"10750",10750,16376,4,1,1,70000,1.4867,2,1,98,71,82,25,80,32,12,0,0,0.99887149104246,1
"10754",10754,82949,1,1,1,2e+05,0.5429,0,1,7,7,82,60,57,29,8,1,0,0,1
"10755",10755,2680,2,1,1,7e+05,0.64,0,1,76,50,27,32,82,46,10,1,1,0.736578023080783,1
"10759",10759,288,2,2,1,125000,0.9396,0,1,59,58,25,88,70,77,90,1,0,0,1
"10761",10761,15740,1,1,1,2e+06,0.618,0,1,27,30,39,89,75,23,76,1,1,0,1
"10762",10762,1676,1,1,1,550000,0.8895,0,1,62,89,11,95,84,82,91,1,0,0,1
"10763",10763,16425,1,1,1,8e+05,1.0279,0,1,14,19,26,70,29,21,93,1,1,1,1
"10764",10764,1058,1,1,0.68,1,1,0,1,58,97,25,60,9,100,82,1,0,0,1
"10765",10765,1276,1,2,1,2e+05,0.8939,0,1,29,77,79,71,20,43,5,1,0,0,1.5
"10766",10766,2691,1,1,1,150000,1.1819,0,1,16,4,24,87,25,78,41,1,0,0,1
"10767",10767,1226,1,1,1,120000,1.0591,1,1,49,96,20,94,71,93,98,0,0,0,1
"10769",10769,9224,1,1,1,330000,0.6273,0,0,60,39,12,99,91,77,54,1,0,0.88339222614841,1
"10770",10770,15364,1,3,1,132680,0.801,0,1,71,35,65,86,71,46,7,1,0,1,1
"10771",10771,690,1,1,1,67000,0.9349,0,1,34,52,34,37,20,92,95,1,0,0,1
"10772",10772,3185,1,1,1.03,15000,1,0,1,98,87,64,40,63,71,48,1,0,0,1
"10773",10773,4888,1,1,1,150000,0.8253,0,1,18,15,85,26,51,17,7,1,0,0,1
"10774",10774,2217,1,1,1,6e+05,0.8378,0,1,47,82,22,96,19,96,81,1,0,0,1
"10775",10775,5045,1,1,1,47000,1.0751,1,1,99,20,79,20,82,33,12,0,0,1,1
"10777",10777,15365,1,2,1,384000,0.6058,3,1,61,39,13,97,76,50,44,0,0,1,1
"10778",10778,750,1,1,1.06,70000,1,0,1,85,94,47,96,85,50,99,1,0,0,1
"10779",10779,650,1,1,1.06,140000,1,0,1,12,91,98,70,48,97,87,1,0,0,1
"10780",10780,891,1,1,1,2e+05,0.7071,1,1,95,81,51,18,98,84,39,0,0,0,1
"10781",10781,9586,1,1,1,2e+05,0.5706,0,1,53,52,13,48,27,43,70,1,0,1,1
"10782",10782,10451,1,3,1.23,204000,1,1,1,54,89,92,26,63,83,68,0,0,1,1
"10783",10783,6498,1,4,1.03,250000,1,0,1,100,80,50,24,66,90,44,1,0,0.705882352941177,1
"10784",10784,2678,1,1,1,47000,0.885,0,1,90,13,62,74,88,49,51,1,0,1,1
"10785",10785,1380,1,1,1,77000,0.8675,0,1,82,47,69,12,44,57,13,1,0,0,1
"10786",10786,14508,1,1,1,190000,0.7001,1,1,77,19,99,68,58,22,8,0,0,1,1
"10787",10787,6955,1,1,1,585000,0.9396,0,1,22,14,3,95,81,64,56,1,1,0.404052443384982,1
"10788",10788,7769,1,1,1,64890,0.7931,0,1,49,35,3,57,42,25,50,1,0,1,1
"10789",10789,9774,1,1,1,30000,0.5164,0,1,34,56,12,12,84,45,69,1,0,1,1
"10790",10790,1596,1,2,1,118000,0.8806,3,1,34,100,99,100,44,100,97,0,0,1,1.5
"10791",10791,1742,1,2,1,17000,1.1819,0,1,56,30,28,31,60,42,33,1,0,1,1
"10792",10792,679,1,1,0.94,460000,1,0,1,69,70,67,27,82,69,92,1,0,0,1
"10793",10793,250,1,1,1,60000,0.7852,1,1,25,99,52,52,20,98,80,0,0,0,1
"10794",10794,2536,1,1,1,262000,0.5649,0,1,65,89,4,89,85,88,74,1,0,0.769270786915078,1
"10796",10796,1030,3,1,1,150000,0.885,3,0,80,53,35,97,65,43,87,0,0,0,1
"10799",10799,702,2,1,1,450000,0.9538,0,1,30,75,33,76,7,83,73,1,0,0,1
"10800",10800,657,1,1,1,75000,0.949,0,1,21,96,61,32,20,87,59,1,0,0,1
"10801",10801,18330,1,2,0.76,2300000,1,1,1,12,60,7,29,29,80,54,0,1,0,1
"10802",10802,5142,1,3,0.83,450000,1,2,1,44,62,4,16,27,10,58,0,0,1,1
"10803",10803,920,1,1,1,390000,0.9165,0,1,61,62,8,82,53,94,87,1,0,0,1
"10804",10804,1718,1,1,1,250000,1.0126,0,1,27,21,17,99,16,66,90,1,0,0,1
"10805",10805,1574,2,1,1,50000,0.9877,0,1,73,76,69,74,93,87,60,1,0,1,1
"10807",10807,3330,1,1,1,1e+05,0.6931,0,1,91,21,55,19,92,27,94,1,0,0.564459171531658,1
"10808",10808,9910,1,3,1,130000,0.9682,2,1,38,87,36,50,73,56,72,0,1,1,1
"10809",10809,725,1,1,1,1e+05,0.5998,1,1,96,83,68,18,84,27,28,0,0,0,1
"10810",10810,13540,1,3,1,275000,0.6727,0,1,5,41,77,55,1,83,80,1,0,0.998372044354954,1
"10811",10811,6666,1,1,1.11,5e+05,1,0,1,52,69,98,35,30,49,32,1,0,1,1
"10812",10812,500,1,1,1,12000,0.7813,0,1,34,72,38,15,70,26,31,1,0,1,1
"10813",10813,890,1,1,1,50000,0.8632,0,1,2,45,71,45,1,37,41,1,0,0,1
"10814",10814,1105,1,1,1,15000,1.3322,0,1,55,75,58,16,89,38,65,1,0,0.953753946329913,1
"10815",10815,7626,1,1,1,1e+05,0.9682,1,1,49,41,98,16,68,16,5,0,0,1,1
"10816",10816,1602,1,1,0.76,570000,1,0,1,74,11,61,74,40,6,39,1,0,0,1
"10817",10817,814,1,2,1,5e+05,0.4168,0,1,86,66,89,17,63,87,10,1,0,0,1
