"","pol_entry_dt","pol_eff_dt"
"369",2017-09-27,2017-10-02
"371",2017-09-27,2017-09-27
"372",2017-09-27,2017-10-22
"373",2017-09-27,2017-10-07
"376",2017-09-27,2017-09-27
"377",2017-09-27,2017-10-01
"379",2017-09-27,2017-09-27
"380",2017-09-27,2017-11-05
"381",2017-09-27,2017-10-03
"382",2017-09-27,2017-09-30
"383",2017-09-27,2017-10-06
"384",2017-09-27,2017-09-29
"385",2017-09-27,2017-09-29
"386",2017-09-27,2017-10-02
"387",2017-09-27,2017-09-27
"388",2017-09-27,2017-10-02
"389",2017-09-27,2017-10-09
"390",2017-09-27,2017-11-15
"391",2017-09-27,2017-10-28
"392",2017-09-27,2017-10-23
"394",2017-09-27,2017-10-14
"396",2017-09-27,2017-10-26
"397",2017-09-27,2017-12-01
"398",2017-09-27,2017-12-01
"399",2017-09-27,2017-10-15
"400",2017-09-27,2017-10-01
"402",2017-09-27,2017-10-05
"403",2017-09-27,2017-10-19
"404",2017-09-27,2017-10-31
"406",2017-09-27,2017-10-01
"408",2017-09-27,2017-12-02
"409",2017-09-27,2017-09-29
"412",2017-09-27,2017-10-15
"415",2017-09-27,2017-10-01
"417",2017-09-27,2017-10-02
"418",2017-09-27,2017-10-31
"419",2017-09-27,2017-10-01
"420",2017-09-27,2017-10-06
"421",2017-09-27,2017-10-09
"423",2017-09-27,2017-09-27
"424",2017-09-27,2017-10-15
"425",2017-09-27,2017-10-31
"426",2017-09-27,2017-10-12
"428",2017-09-27,2017-10-15
"429",2017-09-27,2017-09-27
"430",2017-09-27,2017-10-06
"431",2017-09-27,2017-10-19
"432",2017-09-27,2017-10-01
"433",2017-09-27,2017-10-01
"434",2017-09-28,2018-01-01
"435",2017-09-28,2017-10-15
"436",2017-09-28,2017-10-09
"437",2017-09-28,2017-09-28
"438",2017-09-28,2017-10-01
"439",2017-09-28,2018-01-16
"442",2017-09-28,2018-01-01
"443",2017-09-28,2017-10-01
"444",2017-09-28,2017-09-28
"447",2017-09-28,2017-09-30
"448",2017-09-28,2018-01-01
"450",2017-09-28,2017-10-02
"451",2017-09-28,2017-10-15
"452",2017-09-28,2017-09-28
"453",2017-09-28,2017-10-06
"454",2017-09-28,2017-10-09
"456",2017-09-28,2017-11-12
"457",2017-09-28,2017-09-28
"458",2017-09-28,2017-10-25
"459",2017-09-28,2017-10-01
"461",2017-09-28,2017-10-01
"462",2017-09-28,2017-10-02
"463",2017-09-28,2017-11-14
"464",2017-09-28,2017-10-11
"466",2017-09-28,2017-11-10
"467",2017-09-28,2017-09-28
"468",2017-09-28,2017-10-01
"469",2017-09-28,2017-10-09
"470",2017-09-28,2017-11-01
"471",2017-09-28,2017-12-03
"472",2017-09-28,2017-10-05
"473",2017-09-28,2017-09-28
"474",2017-09-28,2017-09-29
"475",2017-09-28,2017-09-29
"476",2017-09-28,2017-09-30
"477",2017-09-28,2017-11-23
"479",2017-09-28,2017-10-01
"480",2017-09-28,2017-11-20
"481",2017-09-28,2017-09-29
"482",2017-09-28,2017-11-01
"486",2017-09-28,2017-11-06
"487",2017-09-28,2017-10-01
"488",2017-09-28,2017-10-09
"490",2017-09-28,2017-11-01
"491",2017-09-28,2017-10-01
"492",2017-09-28,2017-09-28
"493",2017-09-28,2017-12-31
"494",2017-09-28,2017-10-01
"501",2017-09-28,2017-10-20
"504",2017-09-28,2017-10-12
"505",2017-09-28,2017-10-15
"507",2017-09-28,2017-10-01
"508",2017-09-28,2017-11-01
"509",2017-09-28,2017-09-29
"510",2017-09-28,2017-10-17
"511",2017-09-28,2017-09-28
"512",2017-09-28,2017-10-01
"513",2017-09-28,2017-10-05
"514",2017-09-28,2017-10-02
"515",2017-09-28,2017-11-01
"517",2017-09-28,2017-10-09
"518",2017-09-28,2017-10-11
"520",2017-09-28,2017-10-18
"522",2017-09-28,2017-12-08
"523",2017-09-28,2017-10-10
"524",2017-09-28,2017-10-01
"525",2017-09-28,2017-10-21
"526",2017-09-28,2017-10-01
"528",2017-09-28,2017-12-01
"530",2017-09-28,2017-10-10
"531",2017-09-28,2017-11-02
"533",2017-09-28,2017-10-01
"537",2017-09-28,2017-10-01
"538",2017-09-28,2017-10-20
"539",2017-09-28,2017-12-15
"540",2017-09-28,2017-10-01
"542",2017-09-28,2017-10-05
"543",2017-09-28,2017-11-01
"546",2017-09-28,2017-11-15
"548",2017-09-28,2017-10-11
"550",2017-09-28,2017-11-06
"551",2017-09-28,2017-10-02
"552",2017-09-28,2017-10-19
"553",2017-09-28,2017-10-01
"555",2017-09-28,2017-10-13
"556",2017-09-28,2018-01-19
"557",2017-09-28,2017-09-29
"559",2017-09-28,2017-12-08
"560",2017-09-28,2017-09-30
"562",2017-09-28,2017-10-01
"564",2017-09-28,2017-10-27
"565",2017-09-28,2017-10-01
"567",2017-09-28,2017-11-01
"568",2017-09-28,2017-10-12
"569",2017-09-28,2017-10-06
"570",2017-09-28,2017-12-14
"572",2017-09-28,2017-10-01
"573",2017-09-28,2017-11-26
"574",2017-09-28,2017-10-10
"575",2017-09-28,2017-11-04
"576",2017-09-28,2017-09-29
"577",2017-09-28,2017-09-29
"578",2017-09-28,2017-10-30
"579",2017-09-28,2017-10-01
"580",2017-09-28,2017-10-13
"581",2017-09-28,2017-10-04
"582",2017-09-28,2018-01-01
"583",2017-09-28,2017-09-28
"584",2017-09-28,2017-11-01
"585",2017-09-28,2017-10-03
"586",2017-12-29,2017-12-29
"587",2017-09-29,2017-11-01
"588",2017-09-29,2017-11-01
"589",2017-09-29,2017-09-29
"590",2017-09-29,2017-10-06
"591",2017-09-29,2017-10-15
"592",2017-09-29,2017-10-16
"593",2017-09-29,2017-11-01
"594",2017-09-29,2017-10-28
"596",2017-09-29,2017-10-14
"597",2017-09-29,2017-11-01
"598",2017-09-29,2017-09-29
"599",2017-09-29,2017-09-29
"600",2017-09-29,2017-11-05
"601",2017-09-29,2017-09-29
"603",2017-09-29,2017-10-04
"605",2017-09-29,2017-11-21
"606",2017-09-29,2017-11-23
"607",2017-09-29,2017-09-29
"608",2017-09-29,2017-10-06
"609",2017-09-29,2017-10-25
"610",2017-09-29,2017-10-15
"611",2017-09-29,2017-09-29
"612",2017-09-29,2017-10-16
"614",2017-09-29,2017-12-11
"615",2017-09-29,2017-10-15
"617",2017-09-29,2017-10-04
"619",2017-09-29,2017-10-06
"620",2017-09-29,2017-10-05
"621",2017-09-29,2017-10-26
"625",2017-09-29,2017-10-20
"627",2017-09-29,2017-11-05
"628",2017-09-29,2017-10-01
"629",2017-09-29,2017-09-29
"630",2017-09-29,2017-11-15
"631",2017-09-29,2017-11-16
"632",2017-09-29,2017-10-02
